model,threshold,raw_threshold,precision,recall,f1_score,false_positive_rate,false_negative_rate,tp,fp,fn,tn
Node-Tier (Prob),0.9504040404040404,0.9775404557013752,0.9765013054830287,0.9790575916230366,0.9777777772777786,0.01670792079207921,0.020942408376963352,1122,27,24,1589
Node-Tier (Prob),0.9603030303030302,0.9820232160705509,0.9764808362369338,0.9781849912739965,0.9773321703805583,0.01670792079207921,0.02181500872600349,1121,27,25,1589
Node-Tier (Prob),0.9702020202020202,0.9865059764397265,0.9764192139737992,0.9755671902268761,0.9759930156501528,0.01670792079207921,0.02443280977312391,1118,27,28,1589
Node-Tier (Prob),0.98010101010101,0.9909887368089021,0.9762949956101844,0.9703315881326352,0.9733041570492388,0.01670792079207921,0.029668411867364748,1112,27,34,1589
Node-Tier (Prob),0.99,0.9954714971780777,0.9759572573463936,0.956369982547993,0.9660643450267151,0.01670792079207921,0.04363001745200698,1096,27,50,1589
Gateway-Tier (Reconstruction MSE),0.01,1886.7212559895365,0.7631578947368421,0.0506108202443281,0.09492635012884891,0.011138613861386138,0.9493891797556719,58,18,1088,1598
Gateway-Tier (Reconstruction MSE),0.0198989898989899,3754.3847155256067,0.7166666666666667,0.037521815008726006,0.07131011599168338,0.01051980198019802,0.962478184991274,43,17,1103,1599
Gateway-Tier (Reconstruction MSE),0.029797979797979796,5622.048175061676,0.7241379310344828,0.03664921465968586,0.06976744176876083,0.009900990099009901,0.9633507853403142,42,16,1104,1600
Gateway-Tier (Reconstruction MSE),0.039696969696969696,7489.711634597747,0.7321428571428571,0.03577661431064572,0.06821963385459066,0.009282178217821782,0.9642233856893543,41,15,1105,1601
Gateway-Tier (Reconstruction MSE),0.049595959595959596,9357.375094133817,0.7454545454545455,0.03577661431064572,0.06827643621568483,0.008663366336633664,0.9642233856893543,41,14,1105,1602
Gateway-Tier (Reconstruction MSE),0.059494949494949496,11225.038553669889,0.7407407407407407,0.034904013961605584,0.06666666658071667,0.008663366336633664,0.9650959860383944,40,14,1106,1602
Gateway-Tier (Reconstruction MSE),0.06939393939393938,13092.702013205955,0.7407407407407407,0.034904013961605584,0.06666666658071667,0.008663366336633664,0.9650959860383944,40,14,1106,1602
Gateway-Tier (Reconstruction MSE),0.07929292929292929,14960.365472742027,0.7547169811320755,0.034904013961605584,0.06672226847263184,0.008044554455445545,0.9650959860383944,40,13,1106,1603
Gateway-Tier (Reconstruction MSE),0.08919191919191918,16828.028932278095,0.75,0.034031413612565446,0.06510851410727395,0.008044554455445545,0.9659685863874345,39,13,1107,1603
Gateway-Tier (Reconstruction MSE),0.09909090909090908,18695.69239181417,0.76,0.03315881326352531,0.0635451504215557,0.007425742574257425,0.9668411867364747,38,12,1108,1604
Gateway-Tier (Reconstruction MSE),0.10898989898989898,20563.355851350236,0.76,0.03315881326352531,0.0635451504215557,0.007425742574257425,0.9668411867364747,38,12,1108,1604
Gateway-Tier (Reconstruction MSE),0.11888888888888888,22431.01931088631,0.76,0.03315881326352531,0.0635451504215557,0.007425742574257425,0.9668411867364747,38,12,1108,1604
Gateway-Tier (Reconstruction MSE),0.12878787878787878,24298.682770422376,0.76,0.03315881326352531,0.0635451504215557,0.007425742574257425,0.9668411867364747,38,12,1108,1604
Gateway-Tier (Reconstruction MSE),0.1386868686868687,26166.34622995845,0.7755102040816326,0.03315881326352531,0.06359832628118696,0.006806930693069307,0.9668411867364747,38,11,1108,1605
Gateway-Tier (Reconstruction MSE),0.1485858585858586,28034.009689494524,0.7872340425531915,0.03228621291448516,0.062028499505199716,0.006188118811881188,0.9677137870855148,37,10,1109,1606
Gateway-Tier (Reconstruction MSE),0.15848484848484848,29901.67314903059,0.782608695652174,0.031413612565445025,0.06040268448955565,0.006188118811881188,0.9685863874345549,36,10,1110,1606
